timestamp,run_id,prompt_version,model,thinking,article_id,input_tokens,output_tokens,duration_seconds,status,fallback_used,validation_error
2026-05-22T01:34:48.908844+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240527114500-559,1593,547,10.158,ok,False,
2026-05-22T01:34:48.039283+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240529210000-812,1630,731,14.16,ok,False,
2026-05-22T01:34:51.643370+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20220713174500-1120,1632,579,13.055,ok,False,
2026-05-22T01:34:50.859273+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20230307231500-299,1609,658,14.429,ok,False,
2026-05-22T01:34:50.973477+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20220905180000-852,1497,637,15.051,ok,False,
2026-05-22T01:34:59.067403+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240602224500-116,1542,604,9.767,ok,False,
2026-05-22T01:34:56.706657+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240524144500-644,1589,740,14.787,ok,False,
2026-05-22T01:34:54.374466+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240524194500-1103,1612,1024,19.97,parse_error,False,Expecting value: line 1 column 1 (char 0)
2026-05-22T01:35:05.289562+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240429034500-278,1621,525,14.357,ok,False,
2026-05-22T01:34:55.823469+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20230324184500-791,1556,513,25.128,ok,False,
2026-05-22T01:35:02.199806+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240314163000-863,1574,533,26.36,ok,False,
2026-05-22T01:35:15.345262+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240524194500-1103,1612,625,17.686,ok,False,
2026-05-22T01:35:04.699495+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20230315194500-159,1585,533,30.711,ok,False,
